음식이름,영양성분,함유량
미역줄기볶음,니아신,1.55mg
미역줄기볶음,나트륨,"20,189.12mg"
미역줄기볶음,단백질,5.57g
미역줄기볶음,당질,25.78g
미역줄기볶음,레티놀,0.00㎍
미역줄기볶음,비타민 A,"1,068.56㎍RE"
미역줄기볶음,비타민 B,60.57mg
미역줄기볶음,비타민 C,32.78mg
미역줄기볶음,비타민 E,11.54mg
미역줄기볶음,식이섬유,24.76g
미역줄기볶음,아연,3.91mg
미역줄기볶음,엽산,874.12㎍
미역줄기볶음,인,185.88mg
미역줄기볶음,지질,6.21g
미역줄기볶음,철분,4.05mg
미역줄기볶음,칼륨,"1,445.00mg"
미역줄기볶음,칼슘,319.68mg
미역줄기볶음,콜레스테롤,0.80mg
황태국,베타카로틴,120.10㎍
황태국,니아신,6.60mg
황태국,나트륨,"4,500.65mg"
황태국,단백질,79.21g
황태국,당질,7.41g
황태국,레티놀,15.30㎍
황태국,비타민 A,35.70㎍RE
황태국,비타민 B,60.42mg
황태국,비타민 C,18.30mg
황태국,비타민 E,5.34mg
황태국,식이섬유,2.81g
황태국,아연,0.91mg
황태국,엽산,28.60㎍
황태국,인,941.35mg
황태국,지질,8.35g
황태국,철분,"40,145.00mg"
황태국,칼륨,"1,683.50mg"
황태국,칼슘,455.30mg
황태국,콜레스테롤,344.50mg
닭간장조림,베타카로틴,0.15㎍
닭간장조림,니아신,18.22mg
닭간장조림,나트륨,"1,080.34mg"
닭간장조림,단백질,47.81g
닭간장조림,당질,3.07g
닭간장조림,레티놀,137.50㎍
닭간장조림,비타민 A,137.55㎍RE
닭간장조림,비타민 B,60.82mg
닭간장조림,비타민 C,5.48mg
닭간장조림,비타민 E,10.14mg
닭간장조림,식이섬유,0.34g
닭간장조림,아연,5.53mg
닭간장조림,엽산,15.89㎍
닭간장조림,인,458.51mg
닭간장조림,지질,35.06g
닭간장조림,철분,2.89mg
닭간장조림,칼륨,556.52mg
닭간장조림,칼슘,34.79mg
닭간장조림,콜레스테롤,187.50mg
느타리버섯볶음,베타카로틴,"1,561.42㎍"
느타리버섯볶음,니아신,12.88mg
느타리버섯볶음,나트륨,11.78mg
느타리버섯볶음,단백질,7.92g
느타리버섯볶음,당질,15.16g
느타리버섯볶음,레티놀,0.00㎍
느타리버섯볶음,비타민 A,260.33㎍RE
느타리버섯볶음,비타민 B,60.44mg
느타리버섯볶음,비타민 C,14.91mg
느타리버섯볶음,비타민 E,21.76mg
느타리버섯볶음,식이섬유,11.46g
느타리버섯볶음,아연,1.88mg
느타리버섯볶음,엽산,37.42㎍
느타리버섯볶음,인,293.52mg
느타리버섯볶음,지질,29.59g
느타리버섯볶음,철분,3.37mg
느타리버섯볶음,칼륨,800.20mg
느타리버섯볶음,칼슘,41.53mg
느타리버섯볶음,콜레스테롤,0.00mg
명란젓,베타카로틴,0.00㎍
명란젓,니아신,8.90mg
명란젓,나트륨,"3,531.00mg"
명란젓,단백질,20.50g
명란젓,당질,2.70g
명란젓,레티놀,66.00㎍
명란젓,비타민 A,66.00㎍RE
명란젓,비타민 B,60.26mg
명란젓,비타민 C,8.60mg
명란젓,비타민 E,8.90mg
명란젓,식이섬유,0.00g
명란젓,아연,1.95mg
명란젓,엽산,0.00㎍
명란젓,인,249.00mg
명란젓,지질,3.00g
명란젓,철분,1.20mg
명란젓,칼륨,410.00mg
명란젓,칼슘,28.00mg
명란젓,콜레스테롤,350.00mg
카레볶음밥,베타카로틴,"1,022.90㎍"
카레볶음밥,니아신,1.35mg
카레볶음밥,나트륨,441.92mg
카레볶음밥,단백질,6.37g
카레볶음밥,당질,63.87g
카레볶음밥,레티놀,0.00㎍
카레볶음밥,비타민 A,170.51㎍RE
카레볶음밥,비타민 B,60.25mg
카레볶음밥,비타민 C,2.78mg
카레볶음밥,비타민 E,18.96mg
카레볶음밥,식이섬유,5.47g
카레볶음밥,아연,1.93mg
카레볶음밥,엽산,29.98㎍
카레볶음밥,인,80.41mg
카레볶음밥,지질,19.85g
카레볶음밥,철분,1.74mg
카레볶음밥,칼륨,210.01mg
카레볶음밥,칼슘,27.79mg
카레볶음밥,콜레스테롤,0.25mg
고추잡채,베타카로틴,298.80㎍
고추잡채,니아신,7.58mg
고추잡채,나트륨,"1,000.26mg"
고추잡채,단백질,29.16g
고추잡채,당질,17.21g
고추잡채,레티놀,5.00㎍
고추잡채,비타민 A,55.06㎍RE
고추잡채,비타민 B,61.03mg
고추잡채,비타민 C,50.84mg
고추잡채,비타민 E,5.44mg
고추잡채,식이섬유,6.37g
고추잡채,아연,2.91mg
고추잡채,엽산,60.98㎍
고추잡채,인,307.47mg
고추잡채,지질,18.74g
고추잡채,철분,5.98mg
고추잡채,칼륨,980.29mg
고추잡채,칼슘,56.67mg
고추잡채,콜레스테롤,56.10mg
시금치된장국,베타카로틴,"7,566.64㎍"
시금치된장국,니아신,2.97mg
시금치된장국,나트륨,"2,269.42mg"
시금치된장국,단백질,16.06g
시금치된장국,당질,21.42g
시금치된장국,레티놀,0.00㎍
시금치된장국,비타민 A,"1,261.76㎍RE"
시금치된장국,비타민 B,60.70mg
시금치된장국,비타민 C,122.60mg
시금치된장국,비타민 E,7.31mg
시금치된장국,식이섬유,9.53g
시금치된장국,아연,1.61mg
시금치된장국,엽산,364.70㎍
시금치된장국,인,268.14mg
시금치된장국,지질,3.49g
시금치된장국,철분,6.80mg
시금치된장국,칼륨,"1,695.25mg"
시금치된장국,칼슘,284.38mg
시금치된장국,콜레스테롤,39.52mg
미역초무침,베타카로틴,"1,150.42㎍"
미역초무침,니아신,1.09mg
미역초무침,나트륨,997.84mg
미역초무침,단백질,1.82g
미역초무침,당질,9.71g
미역초무침,레티놀,0.00㎍
미역초무침,비타민 A,191.76㎍RE
미역초무침,비타민 B,60.08mg
미역초무침,비타민 C,17.60mg
미역초무침,비타민 E,0.97mg
미역초무침,식이섬유,4.36g
미역초무침,아연,0.14mg
미역초무침,엽산,119.89㎍
미역초무침,인,42.19mg
미역초무침,지질,0.28g
미역초무침,철분,1.45mg
미역초무침,칼륨,879.22mg
미역초무침,칼슘,83.03mg
미역초무침,콜레스테롤,0.00mg
김치볶음,베타카로틴,642.09㎍
김치볶음,니아신,1.66mg
김치볶음,나트륨,"2,292.27mg"
김치볶음,단백질,4.40g
김치볶음,당질,8.36g
김치볶음,레티놀,0.00㎍
김치볶음,비타민 A,106.35㎍RE
김치볶음,비타민 B,60.35mg
김치볶음,비타민 C,29.95mg
김치볶음,비타민 E,13.21mg
김치볶음,식이섬유,6.39g
김치볶음,아연,0.38mg
김치볶음,엽산,93.67㎍
김치볶음,인,124.77mg
김치볶음,지질,15.03g
김치볶음,철분,1.72mg
김치볶음,칼륨,634.50mg
김치볶음,칼슘,100.96mg
김치볶음,콜레스테롤,0.00mg
야채볶음밥,베타카로틴,"2,335.85㎍"
야채볶음밥,니아신,9.36mg
야채볶음밥,나트륨,485.70mg
야채볶음밥,단백질,55.25g
야채볶음밥,당질,492.39g
야채볶음밥,레티놀,153.00㎍
야채볶음밥,비타민 A,542.37㎍RE
야채볶음밥,비타민 B,60.98mg
야채볶음밥,비타민 C,12.63mg
야채볶음밥,비타민 E,9.42mg
야채볶음밥,식이섬유,7.83g
야채볶음밥,아연,10.52mg
야채볶음밥,엽산,38.35㎍
야채볶음밥,인,623.05mg
야채볶음밥,지질,19.01g
야채볶음밥,철분,10.41mg
야채볶음밥,칼륨,991.53mg
야채볶음밥,칼슘,159.23mg
야채볶음밥,콜레스테롤,475.40mg
감자조림,베타카로틴,"2,262.12㎍"
감자조림,니아신,2.54mg
감자조림,나트륨,"1,186.33mg"
감자조림,단백질,6.07g
감자조림,당질,35.21g
감자조림,레티놀,0.00㎍
감자조림,비타민 A,377.14㎍RE
감자조림,비타민 B,60.70mg
감자조림,비타민 C,35.26mg
감자조림,비타민 E,5.50mg
감자조림,식이섬유,3.82g
감자조림,아연,0.89mg
감자조림,엽산,29.43㎍
감자조림,인,139.59mg
감자조림,지질,6.83g
감자조림,철분,2.08mg
감자조림,칼륨,842.66mg
감자조림,칼슘,44.35mg
감자조림,콜레스테롤,0.20mg
돼지고기장조림,베타카로틴,0.00㎍
돼지고기장조림,니아신,4.38mg
돼지고기장조림,나트륨,"1,221.12mg"
돼지고기장조림,단백질,15.43g
돼지고기장조림,당질,15.76g
돼지고기장조림,레티놀,2.00㎍
돼지고기장조림,비타민 A,2.00㎍RE
돼지고기장조림,비타민 B,60.72mg
돼지고기장조림,비타민 C,0.20mg
돼지고기장조림,비타민 E,0.34mg
돼지고기장조림,식이섬유,0.16g
돼지고기장조림,아연,2.28mg
돼지고기장조림,엽산,9.58㎍
돼지고기장조림,인,259.22mg
돼지고기장조림,지질,13.27g
돼지고기장조림,철분,2.09mg
돼지고기장조림,칼륨,211.34mg
돼지고기장조림,칼슘,10.60mg
돼지고기장조림,콜레스테롤,66.00mg
전복죽,베타카로틴,138.60㎍
전복죽,니아신,7.14mg
전복죽,나트륨,"5,379.75mg"
전복죽,단백질,54.45g
전복죽,당질,153.75g
전복죽,레티놀,0.00㎍
전복죽,비타민 A,23.10㎍RE
전복죽,비타민 B,60.71mg
전복죽,비타민 C,0.00mg
전복죽,비타민 E,14.49mg
전복죽,식이섬유,1.73g
전복죽,아연,5.21mg
전복죽,엽산,25.83㎍
전복죽,인,526.50mg
전복죽,지질,33.03g
전복죽,철분,8.64mg
전복죽,칼륨,556.95mg
전복죽,칼슘,107.10mg
전복죽,콜레스테롤,448.80mg
볶음쌀국수,베타카로틴,"2,330.42㎍"
볶음쌀국수,니아신,4.60mg
볶음쌀국수,나트륨,984.31mg
볶음쌀국수,단백질,27.30g
볶음쌀국수,당질,49.97g
볶음쌀국수,레티놀,0.00㎍
볶음쌀국수,비타민 A,388.29㎍RE
볶음쌀국수,비타민 B,61.45mg
볶음쌀국수,비타민 C,35.56mg
볶음쌀국수,비타민 E,20.02mg
볶음쌀국수,식이섬유,7.97g
볶음쌀국수,아연,2.02mg
볶음쌀국수,엽산,65.35㎍
볶음쌀국수,인,368.51mg
볶음쌀국수,지질,19.91g
볶음쌀국수,철분,4.85mg
볶음쌀국수,칼륨,855.75mg
볶음쌀국수,칼슘,147.59mg
볶음쌀국수,콜레스테롤,133.90mg
김치제육볶음,베타카로틴,"3,007.65㎍"
김치제육볶음,니아신,6.92mg
김치제육볶음,나트륨,"1,789.12mg"
김치제육볶음,단백질,22.18g
김치제육볶음,당질,23.64g
김치제육볶음,레티놀,6.00㎍
김치제육볶음,비타민 A,507.05㎍RE
김치제육볶음,비타민 B,60.60mg
김치제육볶음,비타민 C,29.45mg
김치제육볶음,비타민 E,13.14mg
김치제육볶음,식이섬유,7.81g
김치제육볶음,아연,2.00mg
김치제육볶음,엽산,56.60㎍
김치제육볶음,인,245.62mg
김치제육볶음,지질,49.46g
김치제육볶음,철분,2.82mg
김치제육볶음,칼륨,847.26mg
김치제육볶음,칼슘,75.85mg
김치제육볶음,콜레스테롤,55.40mg
우동,베타카로틴,282.38㎍
우동,니아신,6.43mg
우동,나트륨,"4,745.05mg"
우동,단백질,55.77g
우동,당질,241.57g
우동,레티놀,137.74㎍
우동,비타민 A,184.78㎍RE
우동,비타민 B,61.87mg
우동,비타민 C,7.35mg
우동,비타민 E,3.31mg
우동,식이섬유,8.62g
우동,아연,2.79mg
우동,엽산,161.61㎍
우동,인,587.76mg
우동,지질,16.19g
우동,철분,6.97mg
우동,칼륨,"1,211.20mg"
우동,칼슘,215.64mg
우동,콜레스테롤,501.00mg
강된장,베타카로틴,0.00㎍
강된장,니아신,1.60mg
강된장,나트륨,"4,020.00mg"
강된장,단백질,11.90g
강된장,당질,17.80g
강된장,레티놀,0.00㎍
강된장,비타민 A,0.00㎍RE
강된장,비타민 B,60.22mg
강된장,비타민 C,33.00mg
강된장,비타민 E,1.08mg
강된장,식이섬유,3.10g
강된장,아연,0.58mg
강된장,엽산,0.00㎍
강된장,인,181.00mg
강된장,지질,4.70g
강된장,철분,1.30mg
강된장,칼륨,403.00mg
강된장,칼슘,53.00mg
강된장,콜레스테롤,0.00mg
웨지감자,베타카로틴,57.99㎍
웨지감자,니아신,8.38mg
웨지감자,나트륨,"3,027.11mg"
웨지감자,단백질,39.14g
웨지감자,당질,93.70g
웨지감자,레티놀,"1,489.05㎍"
웨지감자,비타민 A,550.46㎍RE
웨지감자,비타민 B,61.88mg
웨지감자,비타민 C,60.53mg
웨지감자,비타민 E,0.96mg
웨지감자,식이섬유,14.22g
웨지감자,아연,4.06mg
웨지감자,엽산,58.71㎍
웨지감자,인,737.08mg
웨지감자,지질,92.40g
웨지감자,철분,6.99mg
웨지감자,칼륨,"2,495.92mg"
웨지감자,칼슘,659.04mg
웨지감자,콜레스테롤,179.85mg
미음,베타카로틴,0.00㎍
미음,니아신,0.35mg
미음,나트륨,0.50mg
미음,단백질,1.65g
미음,당질,19.20g
미음,레티놀,0.00㎍
미음,비타민 A,0.00㎍RE
미음,비타민 B,60.03mg
미음,비타민 C,0.00mg
미음,비타민 E,0.10mg
미음,식이섬유,0.24g
미음,아연,0.38mg
미음,엽산,0.90㎍
미음,인,16.75mg
미음,지질,0.10g
미음,철분,0.33mg
미음,칼륨,25.50mg
미음,칼슘,3.50mg
미음,콜레스테롤,0.00mg
오징어국,베타카로틴,"1,221.00㎍"
오징어국,니아신,6.80mg
오징어국,나트륨,"5,392.80mg"
오징어국,단백질,39.07g
오징어국,당질,10.80g
오징어국,레티놀,0.00㎍
오징어국,비타민 A,204.00㎍RE
오징어국,비타민 B,60.44mg
오징어국,비타민 C,32.30mg
오징어국,비타민 E,6.08mg
오징어국,식이섬유,4.95g
오징어국,아연,3.03mg
오징어국,엽산,47.92㎍
오징어국,인,541.10mg
오징어국,지질,2.84g
오징어국,철분,2.27mg
오징어국,칼륨,"1,222.35mg"
오징어국,칼슘,100.56mg
오징어국,콜레스테롤,456.00mg
유산슬,베타카로틴,105.90㎍
유산슬,니아신,7.33mg
유산슬,나트륨,"1,983.94mg"
유산슬,단백질,30.80g
유산슬,당질,33.17g
유산슬,레티놀,0.00㎍
유산슬,비타민 A,82.54㎍RE
유산슬,비타민 B,60.64mg
유산슬,비타민 C,16.10mg
유산슬,비타민 E,7.11mg
유산슬,식이섬유,5.50g
유산슬,아연,3.11mg
유산슬,엽산,53.43㎍
유산슬,인,412.74mg
유산슬,지질,15.26g
유산슬,철분,6.29mg
유산슬,칼륨,"1,104.23mg"
유산슬,칼슘,168.05mg
유산슬,콜레스테롤,119.65mg
황태찜,베타카로틴,"2,715.42㎍"
황태찜,니아신,24.31mg
황태찜,나트륨,"7,476.34mg"
황태찜,단백질,305.82g
황태찜,당질,133.11g
황태찜,레티놀,0.00㎍
황태찜,비타민 A,537.51㎍RE
황태찜,비타민 B,61.72mg
황태찜,비타민 C,63.09mg
황태찜,비타민 E,25.18mg
황태찜,식이섬유,19.98g
황태찜,아연,6.38mg
황태찜,엽산,145.93㎍
황태찜,인,"3,872.10mg"
황태찜,지질,49.37g
황태찜,철분,17.61mg
황태찜,칼륨,"6,244.89mg"
황태찜,칼슘,"1,817.27mg"
황태찜,콜레스테롤,"1,242.80mg"
굴밥,베타카로틴,"3,634.00㎍"
굴밥,니아신,13.90mg
굴밥,나트륨,651.00mg
굴밥,단백질,63.93g
굴밥,당질,368.86g
굴밥,레티놀,64.00㎍
굴밥,비타민 A,670.00㎍RE
굴밥,비타민 B,62.26mg
굴밥,비타민 C,30.25mg
굴밥,비타민 E,7.75mg
굴밥,식이섬유,12.77g
굴밥,아연,43.83mg
굴밥,엽산,261.30㎍
굴밥,인,794.00mg
굴밥,지질,13.40g
굴밥,철분,18.86mg
굴밥,칼륨,"1,546.50mg"
굴밥,칼슘,345.00mg
굴밥,콜레스테롤,148.00mg
사골국,베타카로틴,507.25㎍
사골국,니아신,98.59mg
사골국,나트륨,"1,302.95mg"
사골국,단백질,410.42g
사골국,당질,105.97g
사골국,레티놀,216.00㎍
사골국,비타민 A,303.15㎍RE
사골국,비타민 B,68.15mg
사골국,비타민 C,140.85mg
사골국,비타민 E,6.00mg
사골국,식이섬유,24.41g
사골국,아연,73.60mg
사골국,엽산,180.07㎍
사골국,인,"3,721.65mg"
사골국,지질,688.81g
사골국,철분,47.48mg
사골국,칼륨,"7,905.60mg"
사골국,칼슘,373.35mg
사골국,콜레스테롤,"1,093.50mg"
참치미역국,베타카로틴,18.16㎍
참치미역국,니아신,5.43mg
참치미역국,나트륨,"1,564.22mg"
참치미역국,단백질,11.11g
참치미역국,당질,4.64g
참치미역국,레티놀,0.00㎍
참치미역국,비타민 A,3.07㎍RE
참치미역국,비타민 B,60.26mg
참치미역국,비타민 C,1.33mg
참치미역국,비타민 E,6.00mg
참치미역국,식이섬유,2.71g
참치미역국,아연,0.58mg
참치미역국,엽산,58.39㎍
참치미역국,인,129.88mg
참치미역국,지질,11.23g
참치미역국,철분,2.03mg
참치미역국,칼륨,511.39mg
참치미역국,칼슘,54.26mg
참치미역국,콜레스테롤,22.00mg
초고추장,베타카로틴,0.00㎍
초고추장,니아신,0.17mg
초고추장,나트륨,0.00mg
초고추장,단백질,1.16g
초고추장,당질,5.19g
초고추장,레티놀,0.00㎍
초고추장,비타민 A,0.00㎍RE
초고추장,비타민 B,60.21mg
초고추장,비타민 C,0.06mg
초고추장,비타민 E,0.47mg
초고추장,식이섬유,0.67g
초고추장,아연,0.08mg
초고추장,엽산,14.92㎍
초고추장,인,12.60mg
초고추장,지질,1.33g
초고추장,철분,1.64mg
초고추장,칼륨,62.88mg
초고추장,칼슘,24.60mg
초고추장,콜레스테롤,0.00mg
콩나물무침,베타카로틴,86.58㎍
콩나물무침,니아신,1.63mg
콩나물무침,나트륨,"1,444.52mg"
콩나물무침,단백질,11.28g
콩나물무침,당질,5.20g
콩나물무침,레티놀,0.00㎍
콩나물무침,비타민 A,14.46㎍RE
콩나물무침,비타민 B,62.01mg
콩나물무침,비타민 C,19.42mg
콩나물무침,비타민 E,3.06mg
콩나물무침,식이섬유,6.11g
콩나물무침,아연,1.19mg
콩나물무침,엽산,15.51㎍
콩나물무침,인,159.82mg
콩나물무침,지질,8.53g
콩나물무침,철분,1.93mg
콩나물무침,칼륨,514.82mg
콩나물무침,칼슘,110.13mg
콩나물무침,콜레스테롤,0.00mg
배추겉절이,베타카로틴,"1,154.18㎍"
배추겉절이,니아신,2.22mg
배추겉절이,나트륨,"3,265.63mg"
배추겉절이,단백질,2.67g
배추겉절이,당질,13.33g
배추겉절이,레티놀,0.00㎍
배추겉절이,비타민 A,192.06㎍RE
배추겉절이,비타민 B,60.52mg
배추겉절이,비타민 C,60.04mg
배추겉절이,비타민 E,1.95mg
배추겉절이,식이섬유,5.93g
배추겉절이,아연,0.70mg
배추겉절이,엽산,102.30㎍
배추겉절이,인,131.20mg
배추겉절이,지질,5.99g
배추겉절이,철분,2.03mg
배추겉절이,칼륨,671.74mg
배추겉절이,칼슘,128.03mg
배추겉절이,콜레스테롤,6.70mg
뚝배기계란찜,베타카로틴,69.71㎍
뚝배기계란찜,니아신,0.28mg
뚝배기계란찜,나트륨,727.85mg
뚝배기계란찜,단백질,36.83g
뚝배기계란찜,당질,2.17g
뚝배기계란찜,레티놀,218.36㎍
뚝배기계란찜,비타민 A,229.97㎍RE
뚝배기계란찜,비타민 B,60.16mg
뚝배기계란찜,비타민 C,1.23mg
뚝배기계란찜,비타민 E,1.59mg
뚝배기계란찜,식이섬유,0.41g
뚝배기계란찜,아연,1.41mg
뚝배기계란찜,엽산,21.17㎍
뚝배기계란찜,인,247.69mg
뚝배기계란찜,지질,15.50g
뚝배기계란찜,철분,2.76mg
뚝배기계란찜,칼륨,288.38mg
뚝배기계란찜,칼슘,103.33mg
뚝배기계란찜,콜레스테롤,677.16mg
콩자반,베타카로틴,0.05㎍
콩자반,니아신,3.20mg
콩자반,나트륨,"2,643.00mg"
콩자반,단백질,45.20g
콩자반,당질,75.10g
콩자반,레티놀,0.00㎍
콩자반,비타민 A,0.01㎍RE
콩자반,비타민 B,61.03mg
콩자반,비타민 C,0.00mg
콩자반,비타민 E,2.30mg
콩자반,식이섬유,20.90g
콩자반,아연,3.44mg
콩자반,엽산,161.40㎍
콩자반,인,692.30mg
콩자반,지질,20.80g
콩자반,철분,11.40mg
콩자반,칼륨,"1,668.00mg"
콩자반,칼슘,195.30mg
콩자반,콜레스테롤,0.00mg
양념치킨,베타카로틴,"1,310.93㎍"
양념치킨,니아신,72.11mg
양념치킨,나트륨,"3,217.58mg"
양념치킨,단백질,166.84g
양념치킨,당질,273.49g
양념치킨,레티놀,385.00㎍
양념치킨,비타민 A,603.76㎍RE
양념치킨,비타민 B,63.77mg
양념치킨,비타민 C,34.74mg
양념치킨,비타민 E,325.63mg
양념치킨,식이섬유,12.23g
양념치킨,아연,20.44mg
양념치킨,엽산,329.56㎍
양념치킨,인,"1,939.80mg"
양념치킨,지질,423.72g
양념치킨,철분,12.32mg
양념치킨,칼륨,"2,770.62mg"
양념치킨,칼슘,341.71mg
양념치킨,콜레스테롤,525.10mg
해물찜,베타카로틴,"8,176.18㎍"
해물찜,니아신,31.43mg
해물찜,나트륨,"5,453.56mg"
해물찜,단백질,176.92g
해물찜,당질,48.61g
해물찜,레티놀,0.00㎍
해물찜,비타민 A,"1,362.34㎍RE"
해물찜,비타민 B,63.86mg
해물찜,비타민 C,78.96mg
해물찜,비타민 E,22.27mg
해물찜,식이섬유,18.79g
해물찜,아연,279.24mg
해물찜,엽산,323.52㎍
해물찜,인,"2,296.02mg"
해물찜,지질,22.13g
해물찜,철분,28.79mg
해물찜,칼륨,"4,520.20mg"
해물찜,칼슘,941.28mg
해물찜,콜레스테롤,"1,548.60mg"
새우크림스파게티,베타카로틴,66.90㎍
새우크림스파게티,니아신,15.37mg
새우크림스파게티,나트륨,982.25mg
새우크림스파게티,단백질,74.37g
새우크림스파게티,당질,185.10g
새우크림스파게티,레티놀,183.70㎍
새우크림스파게티,비타민 A,190.50㎍RE
새우크림스파게티,비타민 B,61.07mg
새우크림스파게티,비타민 C,12.80mg
새우크림스파게티,비타민 E,9.64mg
새우크림스파게티,식이섬유,8.52g
새우크림스파게티,아연,7.54mg
새우크림스파게티,엽산,79.47㎍
새우크림스파게티,인,"1,251.20mg"
새우크림스파게티,지질,68.60g
새우크림스파게티,철분,10.49mg
새우크림스파게티,칼륨,"2,215.10mg"
새우크림스파게티,칼슘,418.35mg
새우크림스파게티,콜레스테롤,375.60mg
식빵피자,베타카로틴,"2,415.40㎍"
식빵피자,니아신,3.92mg
식빵피자,나트륨,"1,265.47mg"
식빵피자,단백질,50.24g
식빵피자,당질,108.83g
식빵피자,레티놀,0.00㎍
식빵피자,비타민 A,704.01㎍RE
식빵피자,비타민 B,60.62mg
식빵피자,비타민 C,180.52mg
식빵피자,비타민 E,5.24mg
식빵피자,식이섬유,10.08g
식빵피자,아연,5.55mg
식빵피자,엽산,95.55㎍
식빵피자,인,778.91mg
식빵피자,지질,44.48g
식빵피자,철분,4.14mg
식빵피자,칼륨,729.10mg
식빵피자,칼슘,867.03mg
식빵피자,콜레스테롤,140.05mg
참치전,베타카로틴,"1,357.65㎍"
참치전,니아신,10.03mg
참치전,나트륨,748.18mg
참치전,단백질,24.79g
참치전,당질,10.22g
참치전,레티놀,76.50㎍
참치전,비타민 A,302.81㎍RE
참치전,비타민 B,60.46mg
참치전,비타민 C,20.42mg
참치전,비타민 E,15.25mg
참치전,식이섬유,1.12g
참치전,아연,0.93mg
참치전,엽산,12.62㎍
참치전,인,242.60mg
참치전,지질,16.87g
참치전,철분,4.08mg
참치전,칼륨,342.74mg
참치전,칼슘,35.82mg
참치전,콜레스테롤,281.50mg
고구마맛탕,베타카로틴,339.00㎍
고구마맛탕,니아신,2.10mg
고구마맛탕,나트륨,46.20mg
고구마맛탕,단백질,4.20g
고구마맛탕,당질,150.84g
고구마맛탕,레티놀,0.00㎍
고구마맛탕,비타민 A,57.00㎍RE
고구마맛탕,비타민 B,61.35mg
고구마맛탕,비타민 C,75.00mg
고구마맛탕,비타민 E,106.30mg
고구마맛탕,식이섬유,6.96g
고구마맛탕,아연,0.83mg
고구마맛탕,엽산,156.00㎍
고구마맛탕,인,162.00mg
고구마맛탕,지질,100.60g
고구마맛탕,철분,1.68mg
고구마맛탕,칼륨,"1,288.80mg"
고구마맛탕,칼슘,73.80mg
고구마맛탕,콜레스테롤,0.00mg
콩나물찜,베타카로틴,"2,182.62㎍"
콩나물찜,니아신,2.50mg
콩나물찜,나트륨,475.89mg
콩나물찜,단백질,8.32g
콩나물찜,당질,15.50g
콩나물찜,레티놀,0.00㎍
콩나물찜,비타민 A,363.80㎍RE
콩나물찜,비타민 B,61.29mg
콩나물찜,비타민 C,13.18mg
콩나물찜,비타민 E,4.46mg
콩나물찜,식이섬유,7.42g
콩나물찜,아연,0.89mg
콩나물찜,엽산,32.82㎍
콩나물찜,인,124.02mg
콩나물찜,지질,13.39g
콩나물찜,철분,2.15mg
콩나물찜,칼륨,604.54mg
콩나물찜,칼슘,64.99mg
콩나물찜,콜레스테롤,0.00mg
고등어 김치찌개,베타카로틴,"3,712.00㎍"
고등어 김치찌개,니아신,36.16mg
고등어 김치찌개,나트륨,"10,471.00mg"
고등어 김치찌개,단백질,103.36g
고등어 김치찌개,당질,69.47g
고등어 김치찌개,레티놀,128.00㎍
고등어 김치찌개,비타민 A,744.80㎍RE
고등어 김치찌개,비타민 B,63.10mg
고등어 김치찌개,비타민 C,154.00mg
고등어 김치찌개,비타민 E,12.63mg
고등어 김치찌개,식이섬유,32.66g
고등어 김치찌개,아연,"8,063.00mg"
고등어 김치찌개,엽산,388.29㎍
고등어 김치찌개,인,"1,793.70mg"
고등어 김치찌개,지질,67.00g
고등어 김치찌개,철분,17.80mg
고등어 김치찌개,칼륨,"4,282.40mg"
고등어 김치찌개,칼슘,"1,363.00mg"
고등어 김치찌개,콜레스테롤,184.60mg
도토리묵무침,베타카로틴,"2,919.00㎍"
도토리묵무침,니아신,2.83mg
도토리묵무침,나트륨,"2,693.00mg"
도토리묵무침,단백질,7.95g
도토리묵무침,당질,44.40g
도토리묵무침,레티놀,0.00㎍
도토리묵무침,비타민 A,492.90㎍RE
도토리묵무침,비타민 B,60.63mg
도토리묵무침,비타민 C,40.40mg
도토리묵무침,비타민 E,3.92mg
도토리묵무침,식이섬유,11.22g
도토리묵무침,아연,1.02mg
도토리묵무침,엽산,128.30㎍
도토리묵무침,인,243.00mg
도토리묵무침,지질,7.27g
도토리묵무침,철분,4.58mg
도토리묵무침,칼륨,938.90mg
도토리묵무침,칼슘,110.50mg
도토리묵무침,콜레스테롤,0.00mg
김치참치볶음,베타카로틴,274.67㎍
김치참치볶음,니아신,9.02mg
김치참치볶음,나트륨,"1,290.43mg"
김치참치볶음,단백질,15.04g
김치참치볶음,당질,3.23g
김치참치볶음,레티놀,0.00㎍
김치참치볶음,비타민 A,45.51㎍RE
김치참치볶음,비타민 B,60.45mg
김치참치볶음,비타민 C,12.11mg
김치참치볶음,비타민 E,35.77mg
김치참치볶음,식이섬유,2.49g
김치참치볶음,아연,0.53mg
김치참치볶음,엽산,39.93㎍
김치참치볶음,인,147.28mg
김치참치볶음,지질,49.90g
김치참치볶음,철분,6.78mg
김치참치볶음,칼륨,413.48mg
김치참치볶음,칼슘,90.97mg
김치참치볶음,콜레스테롤,41.80mg
고구마샌드위치,베타카로틴,328.95㎍
고구마샌드위치,니아신,5.85mg
고구마샌드위치,나트륨,"1,050.12mg"
고구마샌드위치,단백질,31.36g
고구마샌드위치,당질,190.99g
고구마샌드위치,레티놀,28.34㎍
고구마샌드위치,비타민 A,68.56㎍RE
고구마샌드위치,비타민 B,61.14mg
고구마샌드위치,비타민 C,61.42mg
